ticket_id,title,description,priority,category,resolution_summary
hist-0001,Database connection timeout,PostgreSQL read replica times out after 30s under sustained load.,high,database,Increased max_connections to 500 and restarted replica. Added PgBouncer for connection pooling.
hist-0002,VPN not connecting for remote users,Employees cannot establish VPN connections from home networks after firewall update.,medium,network,Rolled back firewall rule change that blocked UDP 1194. Verified with 10 remote users.
hist-0003,Email delivery failing,SMTP server refuses new connections. Mail queue growing to 5000+ messages.,high,email,Cleared disk space by archiving old logs (freed 80GB). Restarted Postfix. Queue drained in 20 min.
hist-0004,High CPU usage on web servers,All web server nodes at 95%+ CPU. Response times exceeded 5 seconds.,critical,infrastructure,Identified runaway cron job pulling full table scan every minute. Killed it. Added CPU monitoring alert.
hist-0005,Authentication service returning 500,Login endpoint returns HTTP 500 for all users after deploy v2.3.1.,critical,auth,Rolled back to v2.3.0 via kubectl rollout undo. Root cause: missing env var in new deploy config.
hist-0006,SSL certificate expired,TLS certificate for api.example.com expired causing browser security warnings.,high,security,Renewed via Let's Encrypt certbot. Reloaded nginx. Added 30-day expiry monitoring alert.
hist-0007,Disk usage at 95% on prod-db-01,Primary database server disk utilization at 95%. Risk of data loss if not addressed.,critical,database,Archived 60 days of WAL logs to S3 (freed 200GB). Scheduled weekly S3 sync job.
hist-0008,CI/CD pipeline failing on main branch,All CI runs on main failing with exit code 1 on the test step after merge of PR #892.,medium,devops,Fixed flaky test asserting on millisecond timestamp precision. Added retry logic.
hist-0009,Load balancer health checks failing,ALB health checks reporting 503 for 3 of 5 app instances. Partial outage.,high,infrastructure,Restarted app containers that had exhausted file descriptors. Increased ulimit in systemd service.
hist-0010,Redis cache evictions spiking,Redis eviction rate hit 10k/sec causing cache miss storm and DB overload.,high,database,Increased Redis maxmemory from 4GB to 8GB. Changed eviction policy to allkeys-lru.
hist-0011,DNS resolution failing for internal services,Internal microservices cannot resolve each other's hostnames. Inter-service calls failing.,high,network,DNS server OOM-killed. Restarted bind9 and increased memory limit. Flushed caches on all hosts.
hist-0012,Kubernetes pods stuck in CrashLoopBackOff,5 pods in production namespace stuck in CrashLoopBackOff after config map change.,medium,devops,Reverted ConfigMap change. Root cause: invalid YAML indentation in configmap update.
hist-0013,SFTP server unreachable,External partners cannot connect to SFTP server for file transfers. Connection refused on port 22.,medium,network,OpenSSH service crashed due to corrupted host key file. Regenerated keys and restarted.
hist-0014,Application logs not appearing in Elasticsearch,Log pipeline broken. Logstash not ingesting from Filebeat for past 2 hours.,medium,devops,Elasticsearch disk watermark reached. Deleted old indices. Restarted Logstash pipeline.
hist-0015,Payment gateway timeouts,Payment processing timing out at checkout. Revenue impact. External gateway returning 504.,critical,api,Identified gateway provider incident. Implemented fallback to secondary payment provider within 30 min.
